implementation,image_size,threads_procs,avg_time_ms,speedup,efficiency_pct,rmse,psnr_db
openmp,512x512,1,2.57,0.27,26.66,0.0000,inf
openmp,512x512,2,1.49,0.46,23.04,0.0000,inf
openmp,512x512,4,1.16,0.59,14.81,0.0000,inf
openmp,512x512,8,1.08,0.64,7.94,0.0000,inf
pthreads,512x512,1,0.77,0.89,89.49,0.0000,inf
pthreads,512x512,2,0.41,1.69,84.30,0.0000,inf
pthreads,512x512,4,0.25,2.77,69.32,0.0000,inf
pthreads,512x512,8,0.29,2.37,29.58,0.0000,inf
mpi,512x512,1,0.24,2.86,286.49,0.0000,inf
mpi,512x512,2,0.26,2.61,130.67,0.0000,inf
mpi,512x512,4,0.26,2.63,65.84,0.0000,inf
mpi,512x512,8,0.47,1.46,18.29,0.0000,inf
hybrid,512x512,2proc_2thr,0.73,0.94,23.41,0.0000,inf
hybrid,512x512,2proc_4thr,0.62,1.10,13.72,0.0000,inf
hybrid,512x512,4proc_2thr,0.74,0.92,11.52,0.0000,inf
hybrid,512x512,1proc_8thr,0.63,1.09,13.64,0.0000,inf
openmp,4K,1,61.23,0.33,33.02,0.0000,inf
openmp,4K,2,31.87,0.63,31.72,0.0000,inf
openmp,4K,4,17.66,1.14,28.62,0.0000,inf
openmp,4K,8,13.80,1.47,18.32,0.0000,inf
pthreads,4K,1,21.81,0.93,92.70,0.0000,inf
pthreads,4K,2,11.38,1.78,88.88,0.0000,inf
pthreads,4K,4,6.67,3.03,75.80,0.0000,inf
pthreads,4K,8,6.52,3.10,38.76,0.0000,inf
mpi,4K,1,9.38,2.16,215.55,0.0000,inf
mpi,4K,2,5.23,3.87,193.26,0.0000,inf
mpi,4K,4,4.08,4.96,123.90,0.0000,inf
mpi,4K,8,10.33,1.96,24.48,0.0000,inf
hybrid,4K,2proc_2thr,18.96,1.07,26.66,0.0000,inf
hybrid,4K,2proc_4thr,16.33,1.24,15.48,0.0000,inf
hybrid,4K,4proc_2thr,15.17,1.33,16.67,0.0000,inf
hybrid,4K,1proc_8thr,17.22,1.17,14.67,0.0000,inf
