implementation,image_size,threads_procs,rmse,psnr_db
mpi,512x512,1,0,
mpi,512x512,2,0,
mpi,512x512,4,0,
mpi,512x512,8,0,
hybrid,512x512,2proc_2thr,0,
hybrid,512x512,2proc_4thr,0,
hybrid,512x512,4proc_2thr,0,
hybrid,512x512,1proc_8thr,0,
openmp,512x512,1,0.000000,inf
openmp,512x512,2,0.000000,inf
openmp,512x512,4,0.000000,inf
openmp,512x512,8,0.000000,inf
pthreads,512x512,1,0.000000,inf
pthreads,512x512,2,0.000000,inf
pthreads,512x512,4,0.000000,inf
pthreads,512x512,8,0.000000,inf
openmp,4K,1,0.000000,inf
openmp,4K,2,0.000000,inf
openmp,4K,4,0.000000,inf
openmp,4K,8,0.000000,inf
pthreads,4K,1,0.000000,inf
pthreads,4K,2,0.000000,inf
pthreads,4K,4,0.000000,inf
pthreads,4K,8,0.000000,inf
mpi,4K,1,0,inf
mpi,4K,2,0,inf
mpi,4K,4,0,inf
mpi,4K,8,0,inf
hybrid,4K,2proc_2thr,0,inf
hybrid,4K,2proc_4thr,0,inf
hybrid,4K,4proc_2thr,0,inf
hybrid,4K,1proc_8thr,0,inf
